iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
112,500,5554176,4208.0,72.33,1.5672,0.1994,566.125,11.68,1265
113,500,5603328,4211.0,73.71,1.5565,0.1668,568.0,11.67,1277
114,500,5652480,4220.0,77.17,1.546,0.0834,569.875,11.65,1289
115,500,5701632,4212.0,75.7,1.5534,0.295,571.25,11.67,1300
116,500,5750784,4219.0,72.82,1.5636,0.2014,574.375,11.65,1312
117,500,5799936,4208.0,74.05,1.5934,0.2482,576.0417,11.68,1324
118,500,5849088,4206.0,77.66,1.6277,0.3133,581.4167,11.68,1335
119,500,5898240,4205.0,76.32,1.6594,0.2848,582.875,11.69,1347
120,500,5947392,4208.0,79.73,1.67,0.3052,585.0834,11.68,1359
121,500,5996544,4211.0,74.28,1.6538,0.2645,587.0,11.67,1370
122,500,6045696,4221.0,76.72,1.6168,0.2523,588.75,11.64,1382
123,500,6094848,4207.0,77.24,1.5876,0.1261,591.7084,11.68,1394
124,500,6144000,4208.0,78.56,1.5886,0.2116,592.9167,11.68,1405
125,500,6193152,4213.0,77.18,1.6021,0.2035,594.0,11.67,1417
126,500,6242304,4216.0,74.76,1.622,0.2055,595.9584,11.66,1429
127,500,6291456,4176.0,78.64,1.6308,0.177,597.9584,11.77,1441
128,500,6340608,4097.0,74.89,1.6266,0.2136,598.5834,12.0,1452
129,500,6389760,4168.0,79.77,1.6102,0.293,602.6667,11.79,1464
130,500,6438912,4048.0,80.35,1.6114,0.2706,605.6667,12.14,1476
131,500,6488064,4221.0,77.82,1.6308,0.2035,608.0,11.64,1488
132,500,6537216,4200.0,73.21,1.6063,0.3316,609.625,11.7,1500
133,500,6586368,4226.0,77.43,1.5762,0.1282,611.0,11.63,1511
134,500,6635520,4231.0,72.48,1.5525,0.1506,611.0,11.62,1523
135,500,6684672,4221.0,75.28,1.5352,0.234,612.25,11.64,1535
136,500,6733824,4219.0,76.03,1.5052,0.2319,614.9584,11.65,1546
137,500,6782976,4236.0,80.16,1.4452,0.0712,616.125,11.6,1558
138,500,6832128,4217.0,80.38,1.4228,0.1872,618.4167,11.66,1570
139,500,6881280,4219.0,80.93,1.4212,0.1851,619.0417,11.65,1581
140,500,6930432,4220.0,79.92,1.4039,0.1994,620.0,11.65,1593
141,500,6979584,4227.0,81.09,1.4135,0.236,620.375,11.63,1604
142,500,7028736,4225.0,82.01,1.3935,0.0854,621.25,11.63,1616
143,500,7077888,4246.0,81.19,1.3573,0.1811,623.0,11.57,1628
144,500,7127040,4250.0,86.4,1.3656,0.2787,624.4167,11.56,1639
145,500,7176192,4243.0,84.28,1.3711,0.2055,627.8334,11.58,1651
146,500,7225344,4235.0,80.97,1.3542,0.2238,629.0,11.6,1662
147,500,7274496,4246.0,79.12,1.3273,0.177,629.125,11.57,1674
148,500,7323648,4244.0,82.64,1.2969,0.1404,630.0,11.58,1686
149,500,7372800,4242.0,81.1,1.2919,0.12,631.3334,11.58,1697
150,500,7421952,4251.0,83.18,1.2829,0.0916,632.0,11.56,1709
151,500,7471104,4256.0,87.54,1.2925,0.1261,632.7917,11.55,1720
152,500,7520256,4247.0,86.14,1.2837,0.1241,633.125,11.57,1732
153,500,7569408,4242.0,82.07,1.2605,0.2767,635.4167,11.59,1743
154,500,7618560,4249.0,83.67,1.2351,0.0793,636.875,11.57,1755
155,500,7667712,4243.0,85.59,1.2464,0.1363,637.8334,11.58,1767
